country	continent	int	m	sd	maxResid
Nigeria	Africa	37.8595256410256	0.208065734265734	1.52001832946561	2.44414102564102
Norway	Europe	72.2146153846154	0.131941258741258	0.489679044307153	0.942559440559439
Oman	Asia	37.2077435897436	0.772179020979021	2.34771953378678	4.03758974358974
Pakistan	Asia	43.7229615384616	0.405792307692307	0.402933746224056	0.883346153846155
Panama	Americas	58.061	0.354209090909091	1.51703065079599	2.86999999999997
Paraguay	Americas	62.4818333333334	0.157354545454545	0.391417619723876	0.615666666666672
Peru	Americas	44.3476410256411	0.527697902097902	1.07740727679612	1.95002564102563
Philippines	Asia	49.4043461538462	0.42046923076923	0.739470291180404	1.6523461538461
Poland	Europe	64.7808974358975	0.196218881118881	1.62122372429565	3.47089743589739
Portugal	Europe	61.1467948717949	0.337201398601398	1.13970538560075	1.59487179487179
Puerto Rico	Americas	66.9485256410257	0.210574825174825	1.26871838486451	2.66852564102559
Reunion	Africa	53.9975384615385	0.459880419580419	1.62951597504813	2.84896153846154
Romania	Europe	63.9621282051282	0.157401398601398	1.4621140058037	2.91212820512819
Rwanda	Africa	42.7419487179487	-0.0458314685314688	6.55826947735801	17.30968997669
Sao Tome and Principe	Africa	48.5275641025641	0.340682517482517	1.39404990312431	2.05656410256406
Saudi Arabia	Asia	40.8141153846154	0.649623076923077	2.0814742935274	3.76638461538461
Senegal	Africa	36.7466666666667	0.504699999999999	0.932361258668909	1.44316666666666
Serbia	Europe	61.5343461538462	0.255151048951048	1.79155729558298	3.5383461538461
Sierra Leone	Africa	30.8832051282051	0.214034965034965	0.824449955790968	1.6315710955711
Singapore	Asia	61.8458846153846	0.340886013986014	0.711899417101831	1.44988461538461
Slovak Republic	Europe	67.0098717948718	0.134044055944055	1.29982952643241	2.64987179487173
Slovenia	Europe	66.0863461538462	0.200523776223776	0.710834543267348	1.05841608391609
Somalia	Africa	34.6753974358974	0.229573426573426	1.86312930689716	4.2003344988345
South Africa	Africa	49.3412820512821	0.16915944055944	4.74435620274814	9.30605128205128
Spain	Europe	66.4778205128206	0.280930769230768	1.01317539360423	1.53782051282042
Sri Lanka	Asia	59.7914871794872	0.244894405594405	1.08759675683492	2.19848717948714
Sudan	Africa	37.8741923076923	0.382774825174825	0.64407815785553	0.98056293706294
Swaziland	Africa	46.387858974359	0.0950748251748249	6.64409130657407	12.0039743589744
Sweden	Europe	71.605	0.166254545454545	0.211767883220383	0.321363636363648
Switzerland	Europe	69.453717948718	0.222231468531468	0.214911464667868	0.380495337995339
Syria	Asia	46.1012820512821	0.55435944055944	1.32954434997663	2.44805128205128
Taiwan	Asia	61.3374358974359	0.327244755244755	1.3104284606886	2.83743589743584
Tanzania	Africa	43.1084102564103	0.174688111888112	1.83462431880267	2.50337529137529
Thailand	Asia	52.6564230769231	0.347048251748252	1.20487235533783	1.80842307692307
Togo	Africa	40.9774615384615	0.382592307692308	2.33278151652617	3.60003846153846
Trinidad and Tobago	Americas	62.0523076923077	0.173661538461538	1.65198415432892	2.95230769230767
Tunisia	Africa	44.5553076923077	0.587843356643356	1.55905632610629	2.9636923076923
Turkey	Europe	46.0223205128205	0.49723986013986	1.14706605026026	2.4373205128205
Uganda	Africa	44.275217948718	0.121586013986014	3.18766831661272	5.16858857808857
United Kingdom	Europe	68.8085256410257	0.185965734265734	0.442118165100038	0.697668997669001
United States	Americas	68.4138461538462	0.184169230769231	0.416133946630722	0.75723076923077
Uruguay	Americas	65.7416025641026	0.183272027972027	0.533679901201452	0.842403263403277
Venezuela	Americas	57.5133205128205	0.329721678321678	1.48180233960527	2.4253205128205
Vietnam	Asia	39.0100769230769	0.671615384615384	1.31364912186802	2.18838461538462
West Bank and Gaza	Asia	43.7983974358975	0.601100699300699	1.98218221702543	3.4369358974359
Yemen, Rep.	Asia	30.1302820512821	0.60545944055944	1.58579804154085	2.41771794871798
Zambia	Africa	47.6580256410256	-0.0604251748251749	4.52871277959789	5.9757296037296
Zimbabwe	Africa	55.2212435897436	-0.0930209790209794	7.20543069561591	10.5811946386946
